order,sample,date,site,treatment,sensor mas proximo,plot,light_plot,humidity_plot,soil_respiration_plot,tree_identity,tree_size(dbh),tree_defoliation,pathogen,litter_depth,litter_moisture,litter_mass,q_suber,q_canariensis,o_europaea,others,non_id,decomposition_level_1,decomposition_level_2,decomposition_level_3,wood,oribatida,mesostigmata,others_acari ,araneae,pseudoscorpionida,Isopoda,entomobryomorpha ,neelipleona,poduromorpha,symphypleona ,coleoptera,diptera,himenoptera,thysanoptera,myriapoda,nematoda,others_arthropods,obs
1,2.3,66,gamir,C,sensor 1,1,0.275,25.6,6.294024903,2,47.74648293,0,,5,,48.99,14.94182486,20.8001633,0,0,64.25801184,10.43,7.08,31.48,15.57,49,24,5,0,1,1,24,0,48,0,0,7,0,2,1,0,12,
2,3.2,66,gamir,C,sensor 1,1,0.275,25.6,8.968293283,3,63.66197724,1,,6.5,,55,14.83636364,19.45454545,0,0,65.70909091,8.73,10.13,36.14,11.29,270,193,9,1,4,1,99,0,72,7,2,4,2,4,0,5,25,
3,4.1,66,gamir,C,sensor 6,1,0.358,9.5,2.738907645,4,28.64788976,0,,3.5,,124.9,6.541232986,7.886309047,0,0,85.57245797,10.94,7.08,106.88,24.8,397,180,48,1,2,1,110,2,62,4,0,6,2,4,5,5,20,
4,5.2,66,gamir,C,sensor 6,1,s2?,9.5,8.07120257,5,63.66197724,1,,6.5,,59.03,13.9590039,10.23208538,0,0,75.80891072,7.24,7.04,44.75,19.94,358,119,7,0,0,0,30,0,20,7,2,6,0,10,0,0,11,1 snail
5,8.2,66,gamir,C,sensor 1,2,0.279,26.1,6.299130058,8,47.74648293,0,,4.5,,68.91,17.76229865,18.41532434,0,0,63.82237701,17.98,6.95,43.98,6.04,62,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,
6,9.3,66,gamir,C,sensor 4,2,0.347,24.3,6.242261036,9,18.14366351,0,,3.2,,28.63,21.27139364,9.884736291,0,0,68.84387007,6.08,2.84,19.71,4.25,178,52,0,0,0,0,17,0,110,4,0,11,1,3,0,0,6,
7,10.2,66,gamir,C,sensor 4,2,0.347,24.3,6.736894185,10,23.87324146,0,,5,,55.64,14.03666427,32.04529116,0,3.468727534,50.44931704,14.35,13.22,28.07,15.8,662,126,30,0,0,1,36,2,48,37,10,7,2,32,0,0,6,
8,15.3,66,gamir,D,sensor 1,3,0.276,21.9,4.172089469,15,30.23943919,0,,3.2,,59.07,12.89994921,19.89165397,0,0,67.20839682,12.21,7.16,39.7,1.24,194,14,0,3,1,0,2,0,19,7,1,2,0,0,0,0,32,"in others, many scorpion fly"
9,16.2,66,gamir,D,sensor 1,3,0.276,21.9,5.859276963,16,46.1549335,0,,5,,12.9,17.44186047,27.6744186,0,0,54.88372093,2.36,3.46,7.08,1.55,219,9,2,0,0,0,10,0,10,1,1,16,4,0,0,0,1,This sample was repeated because the first was losen
10,18.1,66,gamir,D,sensor 1,3,0.276,21.9,5.381204349,18,28.64788976,0,,4.1,,82.73,12.59518917,16.58406866,0,0,70.82074217,13.58,10.56,58.59,12.72,1233,57,0,1,3,0,12,0,77,0,1,3,1,1,0,0,2,
11,19.3,66,gamir,D,sensor 6,3,s3,20.7,7.876257332,19,46.1549335,1,,4.8,,104.52,7.022579411,16.59012629,0,0,76.3872943,14.67,10.01,79.84,33.24,56,5,0,0,0,0,7,0,6,0,0,0,0,2,1,0,0,
12,25.2,66,gamir,D,sensor 2,4,0.404,22.5,3.964221032,25,20.6901426,1,,3.3,,81.65,6.074709124,15.44396816,0,0,78.48132272,13,4.57,64.08,14.56,398,26,4,1,1,0,15,0,14,0,5,1,0,10,2,1,3,
